data,capital,valor_cesta,carne,leite,feijao,arroz,farinha,batata,tomate,pao,cafe,banana,acucar,oleo,manteiga
2019-01-01,Brasília,427.10,138.72,32.02,18.41,10.11,6.44,18.12,43.83,75.30,11.33,32.17,5.79,3.39,31.45
2019-02-01,Brasília,427.54,141.66,32.77,18.77,10.32,6.69,17.52,38.70,77.52,11.28,31.05,5.67,3.40,32.18
2019-03-01,Brasília,474.94,137.82,30.97,37.94,10.05,6.29,31.38,50.04,75.36,10.94,41.92,6.03,3.37,32.81
2019-04-01,Brasília,487.02,138.60,30.97,37.04,9.90,6.46,31.32,63.00,76.14,10.96,40.95,5.94,3.40,32.32
2019-05-01,Brasília,487.30,140.28,31.13,37.04,9.96,6.58,32.40,61.38,77.16,10.92,39.08,6.06,3.31,31.99
2019-06-01,Brasília,454.90,133.56,30.15,24.57,9.66,6.06,27.12,63.99,74.46,10.22,34.73,6.48,3.22,30.68
2019-07-01,Brasília,449.27,139.68,29.78,23.54,9.90,5.93,27.72,53.91,74.58,10.01,34.28,5.82,3.20,30.91
2019-08-01,Brasília,433.45,138.72,29.62,22.86,9.78,6.07,27.42,38.16,75.18,9.59,36.38,5.76,3.17,30.72
2019-09-01,Brasília,420.01,139.62,30.38,22.46,9.78,6.04,20.58,23.94,75.30,9.85,42.15,5.79,3.26,30.85
2019-10-01,Brasília,441.91,141.90,30.53,22.18,9.96,6.30,21.60,38.88,76.20,9.92,43.95,5.97,3.28,31.23
2019-12-01,Brasília,473.90,179.16,30.30,27.14,9.96,5.97,18.78,37.62,75.42,10.04,39.15,6.36,3.46,30.54
2020-01-01,Brasília,483.17,175.92,29.70,28.30,10.05,5.97,21.90,45.72,73.02,10.03,40.88,7.65,3.70,30.32
2020-02-01,Brasília,481.78,167.40,28.50,27.45,10.17,5.59,20.58,52.38,73.80,10.19,43.95,7.53,3.79,30.43
2020-03-01,Brasília,484.15,168.48,28.35,26.64,10.14,5.42,21.30,53.37,74.28,10.65,43.95,7.59,3.78,30.20
2020-04-01,Brasília,471.17,161.52,29.10,28.12,10.47,5.58,19.62,48.06,73.74,10.48,43.05,7.77,3.74,29.91
2020-05-01,Brasília,441.09,151.38,28.95,26.96,9.87,5.34,18.96,37.26,74.10,10.21,36.90,7.92,3.68,29.56
2020-06-01,Brasília,450.45,153.84,30.15,29.21,10.02,5.50,19.32,37.26,74.40,10.36,38.03,8.31,3.77,30.27
2020-07-01,Brasília,449.96,156.00,31.50,30.64,10.35,5.78,18.24,32.04,75.48,10.45,35.85,8.85,3.86,30.91
2020-08-01,Brasília,443.28,153.90,31.95,30.20,10.20,5.87,15.78,30.06,76.74,10.51,33.68,9.30,3.90,31.18
2020-09-01,Brasília,445.76,154.92,33.00,30.73,10.77,6.09,15.96,28.98,76.26,10.39,32.92,10.05,4.12,31.55
2020-10-01,Brasília,490.48,172.74,33.38,30.91,14.76,5.93,19.80,42.75,75.78,11.92,37.65,7.65,6.09,31.11
2020-11-01,Brasília,572.64,204.54,34.12,32.31,17.01,6.29,31.38,68.85,78.00,10.68,42.08,7.29,7.47,32.61
2020-12-01,Brasília,591.82,218.52,33.90,34.02,16.71,6.72,33.24,60.39,79.44,11.27,50.33,7.35,7.75,32.17
2021-01-01,Brasília,614.31,225.72,34.35,33.93,16.83,6.92,38.88,62.10,79.62,10.94,56.25,7.83,7.69,33.25
2021-02-01,Brasília,591.44,227.64,33.68,33.07,16.32,6.64,30.78,51.48,80.22,10.94,52.57,8.04,7.41,32.62
2021-03-01,Brasília,580.76,228.18,33.38,34.61,16.20,6.60,27.24,44.64,78.90,11.14,52.05,8.07,7.21,32.54
2021-04-01,Brasília,587.33,237.78,33.98,34.83,16.17,6.62,26.16,45.18,79.56,11.53,46.27,8.67,7.52,33.05
2021-05-01,Brasília,588.24,242.76,35.02,34.43,15.96,6.31,26.52,46.08,80.40,11.98,38.10,8.91,7.68,34.06
2021-06-01,Brasília,584.99,245.16,36.00,34.06,15.84,6.55,21.60,45.81,80.34,12.77,34.42,9.24,7.81,35.36
2021-07-01,Brasília,582.35,244.26,36.90,34.52,15.39,6.52,16.50,47.34,80.46,13.81,35.18,9.03,7.61,34.81
2021-08-01,Brasília,594.59,236.94,37.27,33.84,15.06,6.55,23.04,50.49,80.76,15.46,42.38,9.39,7.81,35.58
2021-09-01,Brasília,617.65,242.28,37.95,33.39,14.85,6.44,26.70,54.90,82.80,17.01,48.45,10.29,7.93,34.66
2021-10-01,Brasília,644.09,243.06,37.27,32.58,12.00,6.52,30.84,76.95,85.68,18.02,45.38,10.56,8.12,34.06
2021-11-01,Brasília,631.95,238.98,36.52,32.45,14.61,6.63,31.50,69.57,84.18,18.53,44.70,10.98,8.31,34.98
2021-12-01,Brasília,621.56,233.76,35.85,31.77,14.22,6.72,28.80,67.77,84.36,19.76,44.25,10.95,8.32,35.03
2022-01-01,Brasília,661.09,243.96,36.60,32.13,14.52,6.82,31.92,77.49,85.26,22.06,54.52,11.46,8.71,35.62
2022-02-01,Brasília,670.98,252.96,36.52,33.16,14.01,6.79,42.06,66.42,86.40,23.16,52.95,11.61,8.72,36.19
2022-03-01,Brasília,704.65,252.72,38.55,35.14,14.94,6.92,40.62,83.61,90.36,23.54,60.30,11.61,9.26,37.06
2022-04-01,Brasília,741.55,259.32,41.02,38.66,15.54,7.57,46.98,97.20,93.78,23.85,57.52,12.00,10.31,37.77
2022-05-01,Brasília,696.34,252.48,43.12,38.70,14.73,7.68,41.10,66.60,96.90,22.93,50.92,12.09,10.28,38.79
2022-06-01,Brasília,698.36,249.78,46.05,41.85,14.70,8.19,38.46,62.82,99.12,23.12,51.97,12.03,10.46,39.80
2022-07-01,Brasília,703.93,252.12,58.05,42.30,14.67,8.69,29.82,48.69,103.44,22.88,59.33,11.97,10.07,41.89
2022-08-01,Brasília,689.31,247.44,59.17,40.99,14.79,9.00,25.92,41.49,104.10,22.01,61.42,11.46,8.90,42.59
2022-09-01,Brasília,662.20,206.46,47.48,31.14,16.32,8.96,22.02,70.11,104.94,18.64,73.35,11.13,5.97,45.67
2022-10-01,Brasília,647.76,204.18,44.70,28.35,17.52,8.96,27.66,67.77,105.54,18.11,62.02,11.19,5.78,45.97
2022-11-01,Brasília,667.58,211.68,44.93,29.29,18.39,8.70,30.00,68.04,104.64,17.55,71.40,11.49,5.91,45.55
2022-12-01,Brasília,698.74,219.66,44.02,33.98,19.23,8.28,43.62,68.76,104.52,17.60,76.65,11.61,6.14,44.66
2023-01-01,Brasília,729.73,240.48,47.02,41.71,15.30,9.38,44.34,75.33,103.86,20.19,68.40,10.95,8.48,44.27
2023-02-01,Brasília,719.74,237.00,48.08,41.62,15.48,9.17,37.62,74.97,103.80,19.94,68.55,10.95,8.04,44.51
2023-03-01,Brasília,693.32,231.36,47.32,41.98,15.93,9.07,30.36,67.41,102.12,19.34,63.90,10.98,7.69,45.83
2023-04-01,Brasília,717.09,236.82,49.95,44.28,16.29,9.09,35.40,76.59,104.46,20.07,60.60,11.04,7.34,45.16
2023-05-01,Brasília,703.43,232.92,50.02,42.66,15.93,9.06,32.34,77.58,103.50,19.57,56.02,11.58,6.75,45.48
2023-06-01,Brasília,687.33,224.64,49.50,38.66,15.69,9.23,39.30,66.06,105.48,19.40,56.48,11.76,6.33,44.80
2023-07-01,Brasília,687.58,222.60,48.45,35.87,15.48,9.00,35.70,70.20,105.00,19.13,62.93,11.67,5.88,45.67
2023-08-01,Brasília,689.98,219.36,48.00,33.66,15.66,9.29,29.76,71.28,105.12,19.01,76.28,11.16,5.81,45.59
2023-09-01,Brasília,662.20,206.46,47.48,31.14,16.32,8.96,22.02,70.11,104.94,18.64,73.35,11.13,5.97,45.67
2023-10-01,Brasília,647.76,204.18,44.70,28.35,17.52,8.96,27.66,67.77,105.54,18.11,62.02,11.19,5.78,45.97
2023-11-01,Brasília,667.58,211.68,44.93,29.29,18.39,8.70,30.00,68.04,104.64,17.55,71.40,11.49,5.91,45.55
2023-12-01,Brasília,698.74,219.66,44.02,33.98,19.23,8.28,43.62,68.76,104.52,17.60,76.65,11.61,6.14,44.66
2024-01-01,Brasília,742.52,217.38,44.55,36.90,21.60,8.36,60.78,80.19,107.34,17.41,85.27,11.97,6.55,44.21
2024-02-01,Brasília,741.91,214.92,45.00,39.06,22.20,8.10,60.24,71.82,108.78,17.33,91.42,11.88,6.25,44.89
2024-03-01,Brasília,747.68,214.68,45.60,39.69,21.21,8.49,46.14,87.48,109.92,17.32,94.05,11.91,6.05,45.13
2024-04-01,Brasília,727.95,208.62,45.90,38.16,20.88,8.49,44.82,93.96,108.72,17.51,77.62,12.66,6.05,44.55
2024-05-01,Brasília,737.37,212.88,47.55,36.54,21.33,8.10,58.56,93.51,108.48,18.74,69.00,12.69,6.17,43.81
2024-06-01,Brasília,738.93,210.48,49.95,35.23,22.02,8.37,68.94,87.75,108.72,20.51,64.20,12.51,6.19,44.05
2024-07-01,Brasília,694.31,212.58,49.20,34.16,21.51,8.28,60.66,50.40,106.26,23.17,64.65,12.30,6.28,44.86
2024-08-01,Brasília,673.14,211.38,49.28,32.76,21.18,7.90,45.36,33.93,105.12,25.31,79.28,12.24,6.33,43.06
2024-09-01,Brasília,682.51,213.90,49.20,32.36,21.21,7.88,44.76,37.71,105.12,27.00,81.08,12.09,6.38,43.82
2024-10-01,Brasília,711.05,231.06,49.80,31.64,21.15,7.73,42.00,51.75,106.02,26.83,79.42,12.51,6.79,44.34
2024-11-01,Brasília,742.25,257.70,49.35,30.69,21.48,7.90,46.80,52.74,107.34,27.29,74.78,12.51,7.83,45.83
2024-12-01,Brasília,743.19,272.46,49.12,30.38,21.12,8.04,39.00,44.55,107.46,28.03,76.73,12.63,8.19,45.47
2025-01-01,Brasília,756.03,275.46,49.05,30.46,19.89,7.92,28.74,65.61,109.08,31.00,71.70,12.75,8.29,46.06
2025-02-01,Brasília,772.30,278.88,49.28,29.66,20.28,7.94,28.62,75.96,107.70,36.88,71.70,12.69,7.98,44.73
2025-03-01,Brasília,782.65,273.30,48.60,30.20,19.83,7.79,30.60,84.78,109.38,39.02,74.18,12.42,7.85,44.70
2025-04-01,Brasília,775.84,269.16,48.08,30.87,18.39,7.61,35.34,84.33,111.78,39.57,64.42,12.21,7.59,46.48
2025-05-01,Brasília,774.33,274.32,48.45,29.39,17.43,7.74,39.36,77.76,110.16,41.08,63.60,12.15,7.51,45.38
2025-06-01,Brasília,773.35,271.98,47.32,29.21,16.17,7.68,37.68,84.60,112.02,40.07,62.93,11.49,7.55,44.64
2025-07-01,Brasília,758.19,271.08,48.08,28.21,15.42,7.74,29.40,82.53,112.14,38.53,61.12,11.43,7.57,44.92
2025-08-01,Brasília,739.10,270.12,47.40,27.45,15.21,7.50,25.92,60.39,111.54,36.41,74.40,11.16,7.66,43.94
2019-01-01,São Paulo,467.65,150.36,29.70,22.82,8.94,5.70,22.74,52.29,75.30,11.81,46.80,7.08,3.51,30.60
2019-02-01,São Paulo,482.40,151.80,29.62,34.02,8.76,5.64,28.50,49.95,74.22,11.50,46.65,7.05,3.48,31.20
2019-03-01,São Paulo,509.11,149.82,29.93,39.69,8.67,5.62,34.44,63.99,74.40,11.50,49.28,6.63,3.48,31.65
2019-04-01,São Paulo,522.05,149.34,29.78,36.23,8.58,5.61,35.04,80.01,74.76,11.57,49.65,6.42,3.48,31.58
2019-05-01,São Paulo,507.07,152.64,29.62,30.29,8.58,5.66,34.08,67.32,75.12,11.50,50.02,6.48,3.34,32.40
2019-06-01,São Paulo,501.68,152.28,29.78,26.37,8.79,5.58,33.66,69.57,74.64,11.44,47.85,6.60,3.43,31.69
