Brasília,Campo Grande,Cuiabá,Goiânia,Belo Horizonte,Rio de Janeiro,São Paulo,Vitória,Curitiba,Florianópolis,Porto Alegre,Belém,Boa Vista,Macapá,Manaus,Palmas,Porto Velho,Rio Branco,Aracaju,Fortaleza,João Pessoa,Maceió,Natal,Recife,Salvador,São Luís,Teresina,Macaé
01-2019,427.1,414.83,,398.23,405.4,460.46,467.65,424.21,401.63,437.55,441.65,384.78,,,,,,,356.56,403.99,360.92,,351.83,348.85,353.43,353.85,,
02-2019,427.54,438.64,,416.4,425,464.47,482.4,449.54,414.03,441.89,449.95,383.76,,,,,,,379.61,416.86,378.26,,375.58,376.34,362.93,368.82,,
03-2019,474.94,447.5,,433.43,443.26,496.33,509.11,475.84,443.86,474.07,479.53,408.67,,,,,,,385.62,445.12,400.38,,399.01,401.35,382.35,395.58,,
04-2019,487.02,492.55,,445.28,456.91,515.58,522.05,498.54,461.91,482.3,499.38,423.17,,,,,,,404.68,459.2,412.27,,410.1,417.03,396.75,423.66,,
05-2019,487.3,423.97,,425.35,424.85,492.93,507.07,484.84,451.38,487.93,496.13,418.05,,,,,,,408.16,444.44,403.57,,406.07,417.85,392.97,,,
06-2019,454.9,428.33,,421.65,429.3,498.67,501.68,485.34,446.54,494.96,498.41,407.67,,,,,,,383.09,448.73,398.72,,397.24,396.21,384.76,,,
07-2019,449.27,420.07,,420.55,415.03,479.28,493.16,466.93,443.68,483.2,493.22,403.35,,,,,,,359.95,432.96,385.58,,381.27,381.1,372.25,,,
08-2019,433.45,408.11,,399.4,401.14,462.24,481.44,441.5,441.28,464.24,469.17,393.94,,,,,,,337.96,402.84,367.86,,354.44,361.64,350.75,,,
09-2019,420.01,396.98,,391.31,390.93,458.21,473.85,429.06,424.81,454.94,458.29,382.11,,,,,,,328.7,384.17,359.62,,352.57,367.16,345.04,,,
10-2019,441.91,409.3,,395.7,391.85,462.57,473.59,428.25,421.86,458.28,463.24,377.37,,,,,,,325.01,387.18,351.19,,341.9,359.55,347.65,,,
11-2019,,422.06,,400.16,393.58,455.37,465.81,462.06,413.63,478.68,453.82,381.28,,,,,,,325.4,395.82,347.14,,347.89,354.64,341.45,,,
12-2019,473.9,450.08,,454.75,444.91,516.91,506.5,499.23,458.88,511.7,506.3,414.13,,,,,,,351.97,433.64,373.56,,383.76,393.8,360.51,,,
01-2020,483.17,458,,455.08,456.35,507.13,517.51,492.2,452.32,489.13,502.98,415.56,,,,,,,368.69,433.39,388.02,,389.26,395.93,376.49,,,
02-2020,481.78,445.4,,448.62,459.1,505.55,519.76,480.03,447.91,493.15,492.83,432.95,,,,,,,371.22,462.99,403.98,,405.88,420.27,395.49,,,
03-2020,484.15,474.53,,456.18,461.28,533.65,518.5,504.78,465.47,517.13,497.88,418.8,,,,,,,390.2,475.11,414.05,,426,433.28,408.06,,,
04-2020,471.17,495.69,,493.21,484.55,544.34,556.25,537.89,511.23,523.8,527.01,434.19,,,,,,,401.37,482.46,437.93,,428.28,461.26,425.12,,,
05-2020,441.09,455.35,,505.99,484.02,558.81,556.36,536.73,531.27,524.07,518.63,453.36,,,,,,,400.15,455.18,440.25,,429.57,451.45,410.33,,,
06-2020,450.45,475.01,,480.78,475.19,512.84,547.03,500.01,506.04,516.97,512.4,453.87,,,,,,,420.03,464.31,430.44,,442.46,435.3,419.18,,,
07-2020,449.96,479.79,,472.86,465.06,505.72,524.74,484.8,526.14,522.03,511.22,440.99,,,,,,,392.75,454.74,417.75,,430.66,436.1,415.22,,,
08-2020,443.28,484.46,,483.15,478.07,529.76,539.95,509.45,505.54,530.42,528.61,441.51,,,,,,,398.47,462.13,414.5,,419.47,439.19,418.72,,,
09-2020,445.76,492.8,,510.52,491.62,563.75,563.35,539.36,524.25,582.4,552.86,459.21,,,,,,,427.11,485.75,432.04,,422.31,464.31,459.33,,,
10-2020,490.48,520.12,,537.61,516.82,592.25,595.87,552.85,521.12,584.76,581.39,468.22,,,,,,,442.26,510.54,449.97,,436.76,469.05,454.5,,,
11-2020,572.64,589.08,,557.46,552.37,629.63,629.18,606.59,547.29,616.98,617.03,486.5,,,,,,,451.32,539.33,454.85,,455.43,462.98,488.1,,,
